  0.983299553       3.41889858E-02
  0.983311832       5.13810366E-02
  0.983329058       6.85679838E-02
  0.983351171       8.57498199E-02
  0.983378232      0.102926575    
  0.983410180      0.120098226    
  0.983447015      0.137264803    
  0.983488679      0.154426321    
  0.983535230      0.171582773    
  0.983586609      0.188734204    
  0.983642757      0.205880582    
  0.983703732      0.223021969    
  0.983769476      0.240158394    
  0.983839989      0.257289827    
  0.983915210      0.274416357    
  0.983995080      0.291537911    
  0.984079659      0.308654606    
  0.984168887      0.325766474    
  0.984262705      0.342873424    
  0.984361112      0.359975606    
  0.984464049      0.377073109    
  0.984571517      0.394165754    
  0.984683454      0.411253780    
  0.984799802      0.428337097    
  0.984920621      0.445415765    
  0.985045731      0.462489903    
  0.985175192      0.479559481    
  0.985309005      0.496624589    
  0.985446990      0.513685107    
  0.985589147      0.530741394    
  0.985735536      0.547793090    
  0.985885978      0.564840734    
  0.986040533      0.581883967    
  0.986199021      0.598923028    
  0.986361563      0.615957856    
  0.986527979      0.632988632    
  0.986698270      0.650015354    
  0.986872375      0.667037964    
  0.987050235      0.684056699    
  0.987231851      0.701071620    
  0.987417042      0.718082607    
  0.987605929      0.735089958    
  0.987798274      0.752093613    
  0.987994134      0.769093513    
  0.988193452      0.786089897    
  0.988396108      0.803082705    
  0.988602042      0.820072174    
  0.988811255      0.837058127    
  0.989023685      0.854040980    
  0.989239216      0.871020496    
  0.989457786      0.887996852    
  0.989679396      0.904970050    
  0.989903927      0.921940207    
  0.990131319      0.938907444    
  0.990361512      0.955871880    
  0.990594387      0.972833514    
  0.990830004      0.989792168    
  0.991068184       1.00674844    
  0.991308928       1.02370214    
  0.991552114       1.04065323    
  0.991797686       1.05760193    
  0.992045581       1.07454824    
  0.992295742       1.09149253    
  0.992548048       1.10843432    
  0.992802501       1.12537396    
  0.993058980       1.14231181    
  0.993317366       1.15924776    
  0.993577719       1.17618167    
  0.993839860       1.19311380    
  0.994103730       1.21004450    
  0.994369268       1.22697330    
  0.994636357       1.24390078    
  0.994904995       1.26082659    
  0.995175064       1.27775121    
  0.995446503       1.29467463    
  0.995719254       1.31159651    
  0.995993137       1.32851768    
  0.996268213       1.34543765    
  0.996544302       1.36235666    
  0.996821404       1.37927485    
  0.997099400       1.39619231    
  0.997378170       1.41310906    
  0.997657716       1.43002534    
  0.997937918       1.44694102    
  0.998218715       1.46385622    
  0.998499990       1.48077118    
  0.998781741       1.49768591    
  0.999047875       1.51364732    
  0.999334991       1.53084922    
  0.999622285       1.54805148    
  0.999909699       1.56525362    
   1.00019717       1.58245564    
   1.00048459       1.59965765    
   1.00077176       1.61685991    
   1.00104117       1.63300467    
   1.00132310       1.64992070    
   1.00160468       1.66683781    
   1.00188589       1.68375528    
   1.00216651       1.70067346    
   1.00244653       1.71759272    
   1.00272584       1.73451281    
   1.00300431       1.75143409    
   1.00328207       1.76835620    
   1.00355887       1.78527963    
   1.00383472       1.80220425    
   1.00410938       1.81913018    
   1.00438297       1.83605766    
   1.00465524       1.85298657    
   1.00492632       1.86991704    
   1.00519598       1.88684916    
   1.00546408       1.90378308    
   1.00573075       1.92071867    
   1.00599575       1.93765628    
   1.00625908       1.95459569    
   1.00652063       1.97153735    
   1.00678039       1.98848081    
   1.00703824       2.00542688    
   1.00729406       2.02237487    
   1.00754774       2.03932524    
   1.00779939       2.05627823    
   1.00804877       2.07323360    
   1.00829601       2.09019136    
   1.00854075       2.10715151    
   1.00878310       2.12411451    
   1.00902307       2.14108038    
   1.00926030       2.15804935    
   1.00949502       2.17502069    
   1.00972712       2.19199514    
   1.00995636       2.20897245    
   1.01018274       2.22595310    
   1.01040626       2.24293661    
   1.01062679       2.25992346    
   1.01084435       2.27691340    
   1.01105881       2.29390693    
   1.01127005       2.31090379    
   1.01147819       2.32790375    
   1.01168299       2.34490705    
   1.01188445       2.36191416    
   1.01208258       2.37892532    
   1.01227713       2.39593959    
   1.01246822       2.41295743    
   1.01265585       2.42997932    
   1.01283967       2.44700456    
   1.01301992       2.46403408    
   1.01319647       2.48106718    
   1.01336920       2.49810433    
   1.01353800       2.51514578    
   1.01370299       2.53219080    
   1.01386404       2.54924011    
   1.01402104       2.56629324    
   1.01417410       2.58335066    
   1.01432300       2.60041213    
   1.01446772       2.61747837    
   1.01460838       2.63454819    
   1.01474476       2.65162230    
   1.01487684       2.66870117    
   1.01500463       2.68578410    
   1.01512814       2.70287156    
   1.01524723       2.71996355    
   1.01536179       2.73706007    
   1.01547205       2.75416064    
   1.01557767       2.77126598    
   1.01567888       2.78837538    
   1.01577544       2.80549002    
   1.01586747       2.82260871    
   1.01595485       2.83973265    
   1.01603758       2.85686064    
   1.01611567       2.87399364    
   1.01618898       2.89113116    
   1.01625752       2.90827298    
   1.01632142       2.92541981    
   1.01638043       2.94257140    
   1.01643467       2.95972753    
   1.01648414       2.97688866    
   1.01652873       2.99405432    
   1.01656842       3.01122475    
   1.01660335       3.02839994    
   1.01663327       3.04557991    
   1.01665831       3.06276464    
   1.01667845       3.07995439    
   1.01669371       3.09714890    
   1.01670396       3.11434793    
   1.01670933       3.13155198    
   1.01670980      -3.13442492    
   1.01670527      -3.11721134    
   1.01669574      -3.09999323    
   1.01668131      -3.08277011    
   1.01666188      -3.06554246    
   1.01663756      -3.04830980    
   1.01660824      -3.03107214    
   1.01657403      -3.01383066    
   1.01653492      -2.99658370    
   1.01649082      -2.97933197    
   1.01644182      -2.96207571    
   1.01638782      -2.94481492    
   1.01632905      -2.92754912    
   1.01626527      -2.91027880    
   1.01619673      -2.89300418    
